id,lat,long,image
0,56.17537,4.29744,image004.jpg
1,56.18069,4.2847,image003.jpg
2,55.93667,4.56386,image002.jpg
3,36.40841,81.19546,image001.jpg
4,56.67103,5.08157,image000.jpg
5,55.84087,5.02408,image013.jpg
6,55.6984,2.477,image007.jpg
7,36.09693,81.78432,image006.jpg
8,56.45558,5.65366,image008.jpg
9,55.79366,5.01319,image009.jpg
10,55.76249,5.04883,image011.jpg
11,56.66225,4.96637,image012.jpg
12,56.23903,5.07489,image014.jpg
13,56.22553,4.85589,image010.jpg
14,56.33949,3.86654,image005.jpg
